time,seawater_temperature,practical_salinity,density
2018-08-01 00:30:00,2.365351195885372,34.530770967608746,1034.7986591161787
2018-08-01 00:31:00,2.3652053486496656,34.53078340025914,1034.7986754149179
2018-08-01 00:32:00,2.36528779774607,34.53076411799214,1034.7986320640327
2018-08-01 00:33:00,2.3654104463936325,34.53075241714508,1034.798588732702
2018-08-01 00:34:00,2.3654259426468056,34.53077604307044,1034.7985866635938
2018-08-01 00:35:00,2.36552712469232,34.53079667626409,1034.7985661121386
2018-08-01 00:36:00,2.3661007990399354,34.53066822332426,1034.7983848924375
2018-08-01 00:37:00,2.3657741559248326,34.530749463851066,1034.7984651104537
2018-08-01 00:38:00,2.3657905638872703,34.530725913882236,1034.798415927113
2018-08-01 00:39:00,2.3659309442602257,34.53073881992502,1034.7983897064762
2018-08-01 00:40:00,2.3659355018401946,34.5306554621681,1034.7983136715984
2018-08-01 00:41:00,2.3662011932349496,34.53069852234933,1034.7982935355512
2018-08-01 00:42:00,2.366182538279485,34.53074327635901,1034.798307806923
2018-08-01 00:43:00,2.3664742394644516,34.530741852232396,1034.798248364555
2018-08-01 00:44:00,2.3656438039492937,34.530646613909965,1034.798248895524
